command	val_loss_mean	val_loss_std	val_acc_mean	val_acc_std	test_acc_mean	test_acc_std	duration_mean	duration_std	runs
gcn.py --dataset=Cora	0.8776288628578186	0.03714210167527199	0.7910599708557129	0.00798713881522417	0.8130500316619873	0.00666571781039238	1.0949949026107788	0.21232785284519196	100
gcn.py --dataset=Cora --random_splits	0.8808043003082275	0.05594348534941673	0.7919400930404663	0.02106355130672455	0.7904599905014038	0.016351208090782166	1.1182154417037964	0.22932098805904388	100
gat.py --dataset=Cora	0.6996765732765198	0.006618414539843798	0.805620014667511	0.005145911127328873	0.8311500549316406	0.0046544745564460754	4.981475830078125	0.38267946243286133	100
gat.py --dataset=Cora --random_splits	0.7164903283119202	0.036570705473423004	0.8126999735832214	0.018244965001940727	0.8079100847244263	0.017584482207894325	5.012854099273682	0.3973653018474579	100
cheb.py --dataset=Cora --num_hops=3	0.8100488781929016	0.03536443039774895	0.7749999761581421	0.011541756801307201	0.8041899800300598	0.010968910530209541	2.126286268234253	0.2547791302204132	100
cheb.py --dataset=Cora --num_hops=3 --random_splits	0.8308328986167908	0.06939169019460678	0.7626799941062927	0.030295807868242264	0.7641200423240662	0.026861514896154404	2.168652296066284	0.24315935373306274	100
sgc.py --K=3 --dataset=Cora --weight_decay=0.0005	1.687292218208313	8.738200995139778e-05	0.7760000824928284	5.990492013552284e-08	0.7767699360847473	0.00044619268737733364	0.5330802798271179	0.10523204505443573	100
sgc.py --K=3 --dataset=Cora --random_splits --weight_decay=0.0005	1.6998264789581299	0.011439251713454723	0.7856799960136414	0.02055339328944683	0.7810699343681335	0.018811268731951714	0.5900806188583374	0.14604179561138153	100
arma.py --dataset=Cora --num_layers=1 --num_stacks=2 --shared_weights	0.7698745727539062	0.0069894008338451385	0.7973599433898926	0.005748112220317125	0.8232400417327881	0.004226229153573513	3.808396816253662	0.3416280448436737	100
arma.py --dataset=Cora --num_layers=1 --num_stacks=3 --random_splits --shared_weights	0.856315016746521	0.04041961953043938	0.7976199984550476	0.021570080891251564	0.798289954662323	0.01842116378247738	3.8363192081451416	0.3507637083530426	100
appnp.py --alpha=0.1 --dataset=Cora	0.7653775811195374	0.011144953779876232	0.7996200323104858	0.006932252552360296	0.8319700360298157	0.005105858668684959	1.2131314277648926	0.18282584846019745	100
appnp.py --alpha=0.1 --dataset=Cora --random_splits	0.7386940121650696	0.03524543344974518	0.8215000033378601	0.017457304522395134	0.8209299445152283	0.014175845310091972	1.2117656469345093	0.16738003492355347	100
gcn.py --dataset=CiteSeer	1.102483868598938	0.029689915478229523	0.7060599327087402	0.00839170254766941	0.7102900147438049	0.007391361519694328	1.2216523885726929	0.18743568658828735	100
gcn.py --dataset=CiteSeer --random_splits	1.110556960105896	0.04620259627699852	0.683899998664856	0.02128094993531704	0.6809400320053101	0.01828109286725521	1.230785608291626	0.21710531413555145	100
gat.py --dataset=CiteSeer	0.9913129210472107	0.006090073846280575	0.7127399444580078	0.006873492617160082	0.7085999846458435	0.005260871257632971	5.693875789642334	0.3649575412273407	100
gat.py --dataset=CiteSeer --random_splits	1.0412484407424927	0.042190071195364	0.6847000122070312	0.023601703345775604	0.68927001953125	0.01935153640806675	5.632781505584717	0.40077948570251465	100
cheb.py --dataset=CiteSeer --num_hops=2	1.0684542655944824	0.03480536490678787	0.6924999952316284	0.014276841655373573	0.6989400386810303	0.011608791537582874	2.7722742557525635	0.43625757098197937	100
cheb.py --dataset=CiteSeer --num_hops=3 --random_splits	1.046380639076233	0.05016027018427849	0.6680199503898621	0.024386608973145485	0.671180009841919	0.02142752893269062	3.9670021533966064	0.4107257127761841	100
sgc.py --K=2 --dataset=CiteSeer --weight_decay=0.005	1.768944501876831	0.006498083937913179	0.4541800022125244	0.11387255042791367	0.4459400177001953	0.11959914863109589	0.4194101095199585	0.1014951542019844	100
sgc.py --K=2 --dataset=CiteSeer --random_splits --weight_decay=0.005	1.7692817449569702	0.006233556661754847	0.416659951210022	0.07693684101104736	0.40755999088287354	0.07580135017633438	0.42894843220710754	0.09928536415100098	100
arma.py --dataset=CiteSeer --num_layers=1 --num_stacks=3 --shared_weights	1.1012282371520996	0.01472613774240017	0.7105199694633484	0.009630008600652218	0.7102499604225159	0.007012797985225916	5.239621162414551	0.17671912908554077	100
arma.py --dataset=CiteSeer --num_layers=1 --num_stacks=3 --random_splits --shared_weights	1.124395489692688	0.037068504840135574	0.6778799295425415	0.024519331753253937	0.677109956741333	0.02174781635403633	5.217755317687988	0.20351405441761017	100
appnp.py --alpha=0.1 --dataset=CiteSeer	1.0051559209823608	0.010218694806098938	0.7260800004005432	0.006804157979786396	0.717940092086792	0.004842614289373159	1.3452519178390503	0.20598097145557404	100
appnp.py --alpha=0.1 --dataset=CiteSeer --random_splits	1.0197147130966187	0.03496190160512924	0.6983599662780762	0.019516125321388245	0.6997500061988831	0.016238983720541	1.332770824432373	0.21991966664791107	100
gcn.py --dataset=PubMed	0.5909956693649292	0.012386602349579334	0.8005599975585938	0.0055855512619018555	0.7903100848197937	0.005618685856461525	0.8510008454322815	0.15089824795722961	100
gcn.py --dataset=PubMed --random_splits	0.6241540908813477	0.04539822041988373	0.7748001217842102	0.029092680662870407	0.775119960308075	0.022770388051867485	0.8299490213394165	0.2403675764799118	100
gat.py --dataset=PubMed --lr=0.01 --output_heads=8 --weight_decay=0.001	0.5961433053016663	0.0028573647141456604	0.7939399480819702	0.004760568030178547	0.7903200387954712	0.0036261677742004395	6.8591766357421875	0.22100217640399933	100
gat.py --dataset=PubMed --lr=0.01 --output_heads=8 --random_splits --weight_decay=0.001	0.6231701374053955	0.031409505754709244	0.7745999097824097	0.02823065035045147	0.7785600423812866	0.021683361381292343	6.82634162902832	0.20624864101409912	100
cheb.py --dataset=PubMed --num_hops=2	0.5857118964195251	0.01135119516402483	0.789340078830719	0.008307503536343575	0.7808600068092346	0.005994982551783323	2.2488906383514404	0.2487565129995346	100
cheb.py --dataset=PubMed --num_hops=2 --random_splits	0.6206478476524353	0.0573338083922863	0.758679986000061	0.032430462539196014	0.7559199333190918	0.02810610458254814	2.2252683639526367	0.20745070278644562	100
