command	val_loss_mean	val_loss_std	val_acc_mean	val_acc_std	test_acc_mean	test_acc_std	duration_mean	duration_std	runs
gat.py --dataset=Cora	0.6989349126815796	0.007143755443394184	0.8072199821472168	0.005712965968996286	0.8315500617027283	0.004269635304808617	4.234236240386963	0.3160414695739746	100
gat.py --dataset=Cora --v2	0.6901217699050903	0.008635940961539745	0.8118199706077576	0.007090152706950903	0.8335199952125549	0.004258044064044952	4.433195114135742	0.3061247169971466	100
gat.py --dataset=Cora --random_splits	0.7215478420257568	0.038211971521377563	0.8121199607849121	0.01581667736172676	0.809469997882843	0.015716208145022392	4.264836311340332	0.2980072796344757	100
gat.py --dataset=Cora --random_splits --v2	0.7124154567718506	0.048341769725084305	0.8126800656318665	0.022892316803336143	0.8126800060272217	0.015868064016103745	4.492366790771484	0.3089087903499603	100
gat.py --dataset=CiteSeer	0.9911662936210632	0.0063538639806210995	0.7103999853134155	0.008194608613848686	0.7089700102806091	0.004349519032984972	4.767168045043945	0.29818159341812134	100
gat.py --dataset=CiteSeer --v2	0.991119384765625	0.007715069223195314	0.715999960899353	0.008140187710523605	0.7104899883270264	0.0063920640386641026	5.483137607574463	0.2722058892250061	100
gat.py --dataset=CiteSeer --random_splits	1.0433204174041748	0.03722670301795006	0.690079927444458	0.021393701434135437	0.6871098875999451	0.01936981827020645	4.850639820098877	0.3237242102622986	100
gat.py --dataset=CiteSeer --random_splits --v2	1.0434753894805908	0.03945886343717575	0.6908199787139893	0.021204331889748573	0.6887500286102295	0.018501637503504753	5.467496871948242	0.27536752820014954	100
gat.py --dataset=PubMed --lr=0.01 --output_heads=8 --weight_decay=0.001	0.5959665179252625	0.002857139566913247	0.7943600416183472	0.005143436603248119	0.7894299030303955	0.0033911806531250477	6.696722030639648	0.22075343132019043	100
gat.py --dataset=PubMed --lr=0.01 --output_heads=8 --v2 --weight_decay=0.001	0.5944427251815796	0.0025541651993989944	0.7954000234603882	0.005479068495333195	0.7904300689697266	0.0030459649860858917	9.901153564453125	0.1849655956029892	100
gat.py --dataset=PubMed --lr=0.01 --output_heads=8 --random_splits --weight_decay=0.001	0.6269733905792236	0.031938664615154266	0.7723199725151062	0.028422100469470024	0.7692399621009827	0.025582555681467056	6.666860580444336	0.1926925629377365	100
gat.py --dataset=PubMed --lr=0.01 --output_heads=8 --random_splits --v2 --weight_decay=0.001	0.6200510263442993	0.029650673270225525	0.7777600288391113	0.023877259343862534	0.7777000665664673	0.02200481854379177	9.813310623168945	0.1278674304485321	100
gat.py --batch_norm --dataset=Arxiv --no_normalize_features --runs=20	1.2172539234161377	0.002497535664588213	0.6474562883377075	0.0017141691641882062	0.645013689994812	0.0030203727073967457	98.97975158691406	0.7904385328292847	20
gat.py --batch_norm --dataset=Arxiv --no_normalize_features --runs=20 --v2	1.202537178993225	0.0013992941239848733	0.6493154168128967	0.0015372703783214092	0.6466554999351501	0.0030508919153362513	183.8531951904297	0.9857564568519592	20
